마번,마명,성별,연령,산지,level,스피드(100),수득상금(100),부담력(100),지구력(100),우승거리(100),레이팅,총경기,1st,2st,3st,수득상금(천원),조교사이름,조교사번호,마주,부마명,부마번,총경기_F,1st_F,2st_F,3st_F,모마명,모마번,총경기_M,1st_M,2st_M,3st_M
43908,천둥오름,2,3,0,5,37.06,40.19,34.67,54.37,5.0,,8,0,2,0,"12,000",전승규,25,김광명,페더럴리스트,34735.0,16.0,7.0,1.0,0.0,말리부퀸,40128.0,26.0,3.0,3.0,6.0
44259,천리총,2,3,0,5,50.65,44.96,25.78,57.34,5.0,,14,0,4,1,"43,900",배휴준,29,조금제,한센,32990.0,9.0,5.0,2.0,0.0,멀티챔프,29306.0,20.0,2.0,1.0,3.0
42957,천마비상,2,4,0,3,62.47,57.3,43.56,59.14,63.8,,14,2,5,0,"103,650",서인석,33,정승희,KITTEN'S JOY,6313612.0,14.0,9.0,4.0,0.0,더빅앤배디스트버,40146.0,7.0,2.0,2.0,0.0
45434,천마챗,1,2,0,5,49.41,42.4,39.12,60.63,43.19,,6,1,0,1,"21,350",최봉주,16,조금제,애니기븐새터데이,36358.0,11.0,6.0,2.0,1.0,토니투스완,34894.0,67.0,12.0,10.0,21.0
43160,천비성,1,4,0,4,63.0,45.43,56.9,54.35,53.5,,19,2,3,4,"103,940",강환민,31,이긍열,피스룰즈,25790.0,19.0,9.0,2.0,2.0,대화합,29062.0,25.0,2.0,1.0,1.0
43497,천사박,2,5,1,4,48.27,41.36,34.67,53.42,56.93,,26,1,1,0,"42,800",배대선,20,(주)디알엠씨티,CREATIVE CAUSE,6969074.0,10.0,4.0,2.0,3.0,SCOOTINIT,6995472.0,23.0,2.0,1.0,2.0
44115,천송이,2,3,0,5,23.17,39.49,34.67,48.12,5.0,,16,0,2,0,"14,400",최봉주,16,조금제,선더모카신,33119.0,2.0,2.0,0.0,0.0,라이브퀸,17305.0,34.0,3.0,3.0,4.0
50020,천운챗,2,2,0,6,30.89,36.82,5.0,57.52,5.0,,1,0,0,0,0,배휴준,29,조금제,록하드텐,31305.0,10.0,6.0,1.0,1.0,아이러브유,26088.0,15.0,3.0,0.0,1.0
44392,천은총,2,3,0,5,45.53,39.49,34.67,53.11,43.19,,14,1,0,1,"24,950",배휴준,29,조금제,선더모카신,33119.0,2.0,2.0,0.0,0.0,선골드스키피,25780.0,13.0,1.0,1.0,1.0
45479,천존챗,2,2,0,6,45.09,42.75,5.0,58.74,5.0,,4,0,0,1,"11,400",배휴준,29,조금제,MOR SPIRIT,6109240.0,6.0,3.0,3.0,0.0,아리치아,44975.0,33.0,5.0,10.0,4.0
46513,천지광풍,1,3,1,3,56.33,72.31,52.46,51.1,43.19,,10,1,2,0,"61,800",박윤규,4,김영선,MACLEAN'S MUSIC,6969041.0,1.0,1.0,0.0,0.0,THICKER THAN WATER,6994069.0,10.0,2.0,0.0,2.0
40681,천지여걸,2,5,0,2,60.53,68.0,52.46,58.41,60.36,,20,4,4,4,"257,290",김동균,52,최임규,사이먼퓨어,31261.0,15.0,3.0,5.0,2.0,프리트인그란,24094.0,44.0,3.0,3.0,6.0
43736,천지의빛,2,3,0,6,17.44,37.52,5.0,36.48,5.0,,9,0,0,0,"2,400",휴양마,999,최임규,퍼지,39750.0,15.0,6.0,1.0,2.0,제스프릿,36641.0,4.0,0.0,1.0,2.0
40106,청담지니,0,6,1,1,79.06,59.51,61.35,66.43,45.46,,27,6,2,2,"376,600",토니,30,김병진,HAYNESFIELD,6964685.0,19.0,10.0,2.0,1.0,GHAZO,6680472.0,0.0,0.0,0.0,0.0
40701,청담탱크,2,5,0,4,57.59,53.23,43.56,54.19,74.1,,21,2,5,3,"129,530",토니,30,김병진,엑톤파크,24050.0,23.0,6.0,4.0,6.0,바잉티그,33083.0,33.0,7.0,4.0,4.0
43138,청산강호,1,4,0,3,51.44,50.78,52.46,47.76,72.38,,22,4,1,3,"140,230",휴양마,999,황은호,메니피,20256.0,11.0,5.0,4.0,1.0,토털리톡식,31237.0,0.0,0.0,0.0,0.0
43993,청산영웅,0,3,0,5,49.41,44.15,52.46,55.89,56.93,,12,1,2,2,"50,850",이관호,42,황은호,메니피,20256.0,11.0,5.0,4.0,1.0,트위즈,40229.0,3.0,0.0,0.0,1.0
44927,청춘비바,0,4,1,4,52.25,42.75,25.78,54.22,43.19,,17,2,0,2,"70,110",토니,30,한명로,TWO STEP SALSA,6830611.0,12.0,6.0,2.0,1.0,PURSUING FATE,6128332.0,0.0,0.0,0.0,0.0
40797,초인강자,1,5,0,4,59.5,51.48,61.35,55.01,39.76,,24,2,4,1,"169,550",안병기,22,박남성,메니피,20256.0,11.0,5.0,4.0,1.0,루시판드,25738.0,29.0,3.0,4.0,3.0
42962,초인스파크,1,4,0,5,43.24,39.73,52.46,51.17,5.0,,16,0,2,1,"24,430",휴양마,999,박남성,카우보이칼,38391.0,19.0,7.0,5.0,2.0,코마릴로,31276.0,13.0,3.0,1.0,2.0
40650,초토마,0,5,0,4,52.86,49.62,52.46,54.22,43.19,,19,2,1,3,"83,500",전승규,25,박남성,BLAME,6821213.0,13.0,9.0,2.0,2.0,레디나우,38263.0,5.0,0.0,0.0,0.0
42254,최강게임,1,4,0,2,69.96,84.41,70.24,56.71,70.67,,11,5,0,2,"228,010",전승규,25,이강운,퍼지,39750.0,15.0,6.0,1.0,2.0,거츠게임,31250.0,43.0,6.0,6.0,5.0
42994,최강돌풍,1,4,0,6,14.83,36.82,5.0,43.7,5.0,,2,0,0,0,0,강성오,9,이강운,카우보이칼,38391.0,19.0,7.0,5.0,2.0,스티클러,36715.0,1.0,0.0,0.0,0.0
44576,최강미래,0,3,0,6,22.24,36.82,5.0,39.23,5.0,,2,0,0,0,0,토니,30,이강운,피스룰즈,25790.0,19.0,9.0,2.0,2.0,미래여제,31824.0,1.0,0.0,0.0,0.0
42258,최강블랙,2,4,0,3,66.04,100.0,43.56,55.83,63.8,,13,3,1,4,"387,840",리카디,34,이강운,퍼지,39750.0,15.0,6.0,1.0,2.0,올와이즈,36314.0,24.0,3.0,2.0,3.0
44751,최강블레이드,0,4,1,4,63.99,45.31,34.67,59.14,5.0,,5,0,2,1,"33,350",강환민,31,김형란,MIDSHIPMAN,6784653.0,4.0,3.0,1.0,0.0,PYRAMYST,6105250.0,0.0,0.0,0.0,0.0
43083,최강장산,0,4,0,4,52.63,43.68,16.89,53.24,50.06,,15,1,0,4,"46,540",토니,30,김호선,올드패션드,37972.0,6.0,4.0,2.0,0.0,퀸즈블레이드,30244.0,17.0,8.0,5.0,0.0
42961,최강퀸,2,4,0,3,58.41,71.03,48.01,58.51,50.06,,14,3,3,3,"131,710",박재우,50,박남성,카우보이칼,38391.0,19.0,7.0,5.0,2.0,소서노,21846.0,20.0,3.0,5.0,3.0
38781,최강파티,0,6,0,3,54.71,46.24,52.46,51.22,77.53,,28,3,3,5,"141,750",리카디,34,이강운,메니피,20256.0,11.0,5.0,4.0,1.0,백파,17057.0,31.0,9.0,5.0,3.0
46104,최강현마,1,2,0,6,45.71,40.54,5.0,62.4,5.0,,1,0,0,0,"2,400",전승규,25,(주)디알엠씨티,올드패션드,37972.0,6.0,4.0,2.0,0.0,투리브포,36703.0,7.0,2.0,0.0,0.0
45655,최고레이스,1,4,1,3,58.59,48.11,52.46,54.44,50.06,,14,2,2,2,"122,300",강성오,9,이강운,레이스데이,46317.0,12.0,6.0,1.0,2.0,A. P. ANDREA,6109708.0,0.0,0.0,0.0,0.0
44317,최고블랙,1,3,0,4,59.54,55.32,52.46,58.17,46.63,,5,2,0,0,"48,600",강성오,9,이강운,테스타마타,34428.0,38.0,7.0,4.0,7.0,콰드릴,38308.0,0.0,0.0,0.0,0.0
43836,최고포인트,0,3,0,6,40.28,38.1,5.0,56.38,5.0,,5,0,0,1,"3,500",강성오,9,이강운,테이크차지인디,39742.0,14.0,3.0,4.0,2.0,픽셔널리티,40140.0,16.0,2.0,1.0,5.0
43521,춘산,2,5,1,3,58.84,70.68,34.67,60.6,66.07,,19,3,2,1,"182,220",전승규,25,이관형,CAIRO PRINCE,6106383.0,5.0,3.0,1.0,0.0,BETTY'S WISH,6615631.0,10.0,5.0,2.0,2.0
42916,치프인디,1,4,0,1,70.26,100.0,70.24,60.47,74.93,,16,8,2,3,"501,010",박재우,50,박남성,테이크차지인디,39742.0,14.0,3.0,4.0,2.0,시티스플래쉬,36623.0,25.0,3.0,7.0,7.0
44065,카우보이킹,0,3,0,4,50.65,54.16,48.01,54.04,39.76,,7,2,0,1,"51,000",최용구,8,강무웅,카우보이칼,38391.0,19.0,7.0,5.0,2.0,킵유어윗어바웃유,25782.0,22.0,3.0,4.0,4.0
42292,카우보이탱고,0,4,0,5,47.49,44.15,52.46,61.76,43.19,,18,1,2,2,"37,240",최상식,28,임동현,카우보이칼,38391.0,19.0,7.0,5.0,2.0,탱고스텝,22890.0,35.0,7.0,1.0,3.0
42819,카지노스타,2,4,0,6,28.91,36.82,5.0,49.63,5.0,,10,0,0,0,0,서범석,12,미즈타니 마사테루,CASINO DRIVE,6969136.0,11.0,4.0,1.0,1.0,러브미니스터,40082.0,57.0,6.0,3.0,8.0
45948,캐츠아이,1,2,0,6,56.82,43.45,5.0,62.4,5.0,,2,0,0,1,"8,400",홍대유,6,금악목장,페더럴리스트,34735.0,16.0,7.0,1.0,0.0,말리부퀸,40128.0,26.0,3.0,3.0,6.0
45193,캐츠우먼,2,2,0,6,30.27,38.1,5.0,59.75,5.0,,4,0,0,0,"2,400",임채덕,35,금악목장,페더럴리스트,34735.0,16.0,7.0,1.0,0.0,다이아캣,24354.0,5.0,1.0,1.0,2.0
46435,캔디여왕,2,4,0,6,37.48,37.87,5.0,53.18,5.0,,3,0,0,0,"1,000",휴양마,999,이장운,퍼지,39750.0,15.0,6.0,1.0,2.0,엠파이어캔디,34876.0,8.0,0.0,0.0,0.0
44154,캠프세이버,2,3,0,5,43.24,39.38,34.67,53.59,5.0,,12,0,1,2,"20,200",최용건,51,김창호,포리스트캠프,21999.0,11.0,4.0,2.0,0.0,내사랑담양,34562.0,24.0,2.0,2.0,3.0
40452,캡틴브라보,0,5,0,3,55.21,45.2,61.35,57.8,68.95,,26,4,1,3,"136,690",곽영효,19,김용래,투아너앤드서브,41566.0,11.0,6.0,1.0,2.0,다이나믹퀄리티,38271.0,0.0,0.0,0.0,0.0
44522,컴플리트럭키,2,3,0,5,31.16,48.11,34.67,45.96,5.0,,9,0,2,1,"33,100",강환민,31,장세준,메니피,20256.0,11.0,5.0,4.0,1.0,문차머,38356.0,15.0,4.0,1.0,2.0
45537,컴플리트레벨,1,2,0,5,75.35,73.12,43.56,74.18,29.46,,2,1,1,0,"46,200",휴양마,999,장세준,테이크차지인디,39742.0,14.0,3.0,4.0,2.0,검화,30503.0,12.0,4.0,0.0,0.0
44137,컴플리트밸류,1,3,0,1,74.36,100.0,61.35,60.61,53.5,,10,6,2,1,"770,960",박재우,50,장세준,지롤라모,40246.0,11.0,5.0,0.0,1.0,포트스덕션,32471.0,10.0,1.0,1.0,0.0
46270,컴플리트엔젤,2,2,0,6,56.82,39.96,5.0,64.02,5.0,,2,0,0,0,"3,000",휴양마,999,장석영,한센,32990.0,9.0,5.0,2.0,0.0,검은요정,22327.0,20.0,4.0,2.0,2.0
43846,컴플리트웨펀,1,3,0,4,55.18,53.92,52.46,56.98,43.19,,6,1,2,0,"53,800",박재우,50,장석영,한센,32990.0,9.0,5.0,2.0,0.0,평촌라이언,35128.0,15.0,3.0,1.0,0.0
43824,컴플리트조이,2,3,0,6,32.95,37.75,5.0,54.54,5.0,,6,0,0,0,"2,000",휴양마,999,장석영,포리스트캠프,21999.0,11.0,4.0,2.0,0.0,신세계신화,30449.0,28.0,2.0,4.0,8.0
