마번,마명,성별,연령,레이팅1,수득상금(천원),마주,부마명,모마명,조교사이름,조교사번호,총경기,1st,2st,3st,산지,level
43964,리마커블,2,3,46,"103,500",조용학,커널존,원더드리머,서홍수,24,15,2,2,2,0,4
43872,리버태양,0,3,31,"27,000",(주)디알엠씨티,메니피,캐피리버,정호익,10,5,1,0,0,0,5
41249,리얼팩,0,5,23,"23,000",임한용,오피서,리얼로우즈,박병일,27,18,0,2,0,0,5
44261,리월마,0,3,41,"55,000",박시용,콩코드포인트,낫애니모어,서홍수,24,2,2,0,0,0,4
46008,리치게이트,1,2,0,"2,400",이종욱,아치아치아치,게이트웨이,이준철,48,1,0,0,0,0,6
41871,릴패트론,0,6,120,"492,450",고재완,FIBER SONDE,TEQUILA N' LIME,서인석,33,29,7,5,2,1,1
45728,마구마,1,2,0,"2,400",임흥호,페더럴리스트,호루라기,안해양,26,2,0,0,0,0,6
44569,마루마,0,3,30,"29,500",(주)디알엠씨티,메니피,익스플리시틀리,강성오,9,9,0,1,3,0,5
43741,마바위,1,3,43,"65,600",김종진,록하드텐,마볼트,박천서,54,9,1,3,1,0,4
37040,마스크,1,7,96,"910,140",김진태,테스타마타,파이어앤바이스,문병기,21,36,5,6,7,0,1
45876,마에스트라,2,2,0,"16,800",한명로,메니피,인비엑티브,우창구,5,2,0,0,2,0,6
43053,마에스트로,1,4,30,"27,090",우동희,커널존,메시지레드,박희철,15,13,1,0,1,0,5
45768,마의웨이,1,2,0,"8,400",퍼플라인,투아너앤드서브,심신지려,박천서,54,3,0,0,1,0,6
44830,마이공주,0,3,0,"7,000",이기선,퍼지,가시공주,강성오,9,6,0,0,2,0,6
46191,마이원,0,2,0,0,백국인,퍼지,쇼우타임,정호익,10,1,0,0,0,0,6
42021,마이윈,1,4,48,"59,200",손병철,라이언산타,미스다이앤,송문길,40,9,3,1,1,0,4
43582,마이티고,0,5,113,"425,800",조병태,레이스데이,레보레이디,휴양마,999,20,7,3,2,1,1
43851,마이티굿,1,3,42,"79,000",조병태,BIG BLUE KITTEN,모어미스크리시,서홍수,24,9,2,1,2,0,4
44938,마이티뉴,0,5,84,"266,830",조병태,RED GIANT,OUTRAGE,서홍수,24,16,5,2,3,1,1
44835,마이티렘,2,3,0,0,조병태,LEMON DROP KID,레이디스트럭골드,휴양마,999,2,0,0,0,0,6
43834,마이티선샤인,1,3,43,"68,350",손칠규,원쿨캣,마이티엔젤,임채덕,35,15,2,2,2,0,4
41899,마이티수,1,5,83,"310,760",조병태,SUPER SAVER,GOLD INDY,휴양마,999,17,6,2,2,1,1
45879,마이티쎈,1,2,0,0,조병태,한센,샤프게일,서홍수,24,1,0,0,0,0,6
44074,마이티앤,2,3,0,"9,100",조병태,애니기븐새터데이,스위트뮤직,휴양마,999,8,0,0,1,0,6
45657,마이티웰,1,4,55,"78,600",조병태,TALE OF EKATI,IMA SOUL MISS,서홍수,24,8,1,2,1,1,3
44917,마이티지,1,4,79,"216,000",조병태,GOLDENCENTS,ENGAGINGLEE,서홍수,24,13,3,6,2,1,2
44916,마이티칩,1,4,72,"157,530",조병태,언캡처드,BAGANARA,서홍수,24,12,4,0,3,1,2
51988,마이티큐,2,2,43,"16,500",조병태,TAPWRIT,AMMALU,서홍수,24,1,0,1,0,1,4
44918,마이티킥,0,4,41,"37,200",조병태,MACHO UNO,BESTPERSONALREGARD,휴양마,999,10,0,2,0,1,4
45132,마이티팝,1,4,69,"147,090",조병태,SUPER SAVER,SHOW ME THE ROSES,서홍수,24,11,3,3,1,1,2
45131,마이티후,1,4,79,"180,990",조병태,BODEMEISTER,HOLY BUBBETTE,서홍수,24,15,4,1,2,1,2
44599,마파람,2,3,33,"55,800",(주)나스카,선더모카신,대륙의별,문병기,21,12,2,1,0,0,5
43489,마하걸,2,5,33,"1,600",미즈타니 마사테루,KANE HEKILI,TAHITIAN MEMORY,최봉주,16,12,0,0,0,1,4
44528,마하스타,2,3,32,"15,000",장철환,맘보트레인,덕수궁,최용건,51,2,1,0,0,0,5
38539,만석지기,1,6,64,"174,130",강태구,PAYNTER,로희,박병일,27,25,6,2,4,0,3
41041,만세,0,5,59,"188,590",김진태,AFLEET ALEX,라스트워드,문병기,21,29,4,4,3,0,3
45906,매디슨마운틴,2,2,0,0,이미경,애니기븐새터데이,필리매디슨,배휴준,29,2,0,0,0,0,6
44001,매디슨뮤직,2,3,0,"3,500",이미경,CUPID,필리매디슨,박희철,15,6,0,0,1,0,6
43477,매직그레이스,2,3,48,"106,550",최상일,매직댄서,우아등선,서인석,33,12,3,0,1,0,4
43475,매직러시,0,3,27,"32,600",최상기,매직댄서,어거스트러쉬,서인석,33,10,1,0,0,0,5
43812,매직모카신,2,3,0,"18,600",고창범,선더모카신,온리포윈,구자흥,7,9,0,0,2,0,6
45765,매직아워,1,2,30,"41,000",박남성,CONNECT,캐시미어우즈,정호익,10,2,1,0,0,0,5
42597,매직조이,0,4,40,"76,560",최상기,매직댄서,너와기쁨을,서인석,33,14,1,3,1,0,4
42601,매직주니어,0,4,61,"131,430",최상기,매직댄서,헤이주드,서인석,33,12,4,1,1,0,3
43480,매직주드,2,3,0,"15,150",최상일,매직댄서,헤이주드,서인석,33,7,0,0,2,0,6
45595,매직콘서트,2,2,30,"33,000",최상일,매직댄서,어거스트러쉬,서인석,33,2,1,0,0,0,5
42596,매직타이드,2,4,36,"64,980",최상기,매직댄서,꽃여울,서인석,33,14,1,1,4,0,4
42722,머니가락,0,4,37,"54,170",박상헌,백광,럭키샤이니,배대선,20,16,1,2,3,0,4
42535,머니스톤,2,4,0,"11,500",정기환,모던카우보이,제이원,곽영효,19,19,0,1,1,0,6
40843,머니시장,2,5,53,"150,270",박상헌,피스룰즈,퍼스트워리어,배대선,20,21,2,4,3,0,3
43998,머니신,1,3,0,0,문창완,애니기븐새터데이,은빛환희,배대선,20,3,0,0,0,0,6
46039,머니장군,1,2,0,"13,200",박상헌,에어쉐이디,스위트일루전,배대선,20,2,0,1,0,0,6
37662,머니지프,0,7,69,"290,980",강종우,엑스플로잇,그랜드지프,배대선,20,52,4,4,8,0,2
40297,머니챔프,0,5,61,"211,870",최임규,경부대로,기적의천사,심승태,37,34,5,3,3,0,3
44197,머니탑,2,3,0,"1,250",박상헌,케이탑,럭키샤이니,배대선,20,10,0,0,0,0,6
45098,머스탱참,2,3,28,"26,700",김세민,카우보이칼,머스탱퀸,김동철,53,11,0,2,1,0,5
44706,머스탱파워,0,3,43,"64,400",이영성,아치아치아치,크리스털레거시,강환민,31,7,2,1,1,0,4
45256,멋진강호,1,2,0,0,정기찬,티즈원더풀,나이스터치,박윤규,4,1,0,0,0,0,6
43778,멋진기록,0,3,33,"45,800",정기찬,커널존,그레이톰보이,박윤규,4,9,1,1,1,0,5
43600,멋진왕자,1,5,66,"166,560",정기찬,TEMPLE CITY,BRILLIANT FUTURE,박윤규,4,24,2,4,2,1,2
43844,메니골드,2,3,41,"66,200",홍종철,메니피,차이나골드,리카디,34,7,2,1,1,0,4
38680,메니스피드,1,6,66,"246,210",최몽주,메니피,미스개츠비Ⅱ,조현수,11,38,3,7,9,0,2
44621,메니스피어,2,3,41,"58,200",김영완,메니피,디그리,휴양마,999,6,2,1,0,0,4
44049,메니에이스,2,3,0,"12,000",나기두,메니피,인비엑티브,곽영효,19,3,0,1,0,0,6
43667,메니원더풀,1,3,32,"41,750",박정배,티즈원더풀,메니머니,김동균,52,6,1,0,1,0,5
40901,메니챔프,1,5,67,"255,400",조명식,메니피,다이아몬드브리나,휴양마,999,26,5,3,2,0,2
45263,메니포켓,2,2,0,"8,400",박정배,카우보이칼,메니머니,휴양마,999,2,0,0,1,0,6
40517,메니히어로,1,5,111,"534,420",박정배,메니피,포킷풀어브머니,김동균,52,23,10,4,2,0,1
51985,메디치울프,2,2,40,"16,500",(주)나스카,GOOD SAMARITAN,TREPIDATION,송문길,40,1,0,1,0,1,4
43883,메이블레이드,2,3,37,"41,150",김형란,카우보이칼,메이저즈걸Ⅱ,이준철,48,13,2,0,0,0,4
42756,메인오브킹,0,4,37,"52,840",손병현,포리스트캠프,메인어브젝티브,이관호,42,20,0,5,2,0,4
45853,메타블레이드,2,2,0,"15,900",김병진,컬러즈플라잉,동방로즈,강환민,31,2,0,1,0,0,6
43021,명진데이,1,4,54,"94,590",정은섭,애니기븐새터데이,루시판드,휴양마,999,10,3,2,2,0,3
42263,명진캔디,2,4,32,"29,700",(주)자성실업,TWIRLING CANDY,사이드레터,휴양마,999,16,1,1,1,0,5
38738,명품축제,1,6,87,"573,230",백경무,페더럴리스트,원더유니콘,김윤섭,32,32,5,1,6,0,1
43479,모닝파이브,2,3,0,"8,350",최상일,모닝캄,파이브골드링즈,서인석,33,7,0,1,0,0,6
43476,모닝펄,2,3,30,"41,100",최상기,모닝캄,어매스,서인석,33,10,0,2,3,0,5
45223,모닝프린스,1,2,0,"18,900",최상기,모닝캄,파이브골드링즈,서인석,33,3,0,0,2,0,6
42599,모닝힐,0,4,65,"152,150",최상일,모닝캄,메다글로리아,서인석,33,15,5,1,1,0,3
39909,모르피스,0,7,133,"1,303,300",박남성,STEPHEN GOT EVEN,CHINCHILLA,이관호,42,39,11,7,7,1,1
42618,모스트스피드,2,4,54,"133,940",고재완,페더럴리스트,오버스피드,휴양마,999,21,4,2,2,0,3
45115,몬스터케이,0,4,76,"171,150",강경운,ASTROLOGY,ARI THE ADVENTURER,우창구,5,18,4,1,4,1,2
45395,몬스터파워,1,2,40,"55,000",홍종철,메니피,차이나골드,리카디,34,3,2,0,0,0,4
45242,문더스트,2,2,0,0,청팅콩,CONSTITUTION,페이데이키튼,서범석,12,4,0,0,0,0,6
46585,문학다이얼,1,3,36,0,권경자,DIALED IN,KALEIDOSCOPE,김윤섭,32,5,0,0,0,1,4
43631,문학드림,1,5,51,"82,410",권경자,GEMOLOGIST,RIVOLTELLA,박종곤,1,21,2,2,2,1,3
45152,문학럭키,0,4,41,"53,900",에스지이건설,EFFINEX,AWESOME REWARD,박종곤,1,18,1,2,1,1,4
45051,문학문,1,4,69,"153,820",권경자,지몰로지스트,문보우,홍대유,6,20,2,4,3,1,2
43482,문학보스,0,5,70,"176,250",권경자,레이스데이,LADY DAPHNE,박종곤,1,23,3,1,4,1,2
45062,문학선,1,4,63,"100,450",에스지이건설,GEMOLOGIST,ALL TIME HIGH,휴양마,999,11,3,1,1,1,3
50789,문학송,2,2,39,"10,500",권경자,SONGANDAPRAYER,ITALY GIRL,정호익,10,1,0,0,1,1,4
46584,문학스톰,1,3,39,"27,000",권경자,MIDNIGHT STORM,TALULLAH LULA,정호익,10,8,0,1,1,1,4
46589,문학스트롱,1,3,44,"24,600",권경자,STRONG MANDATE,TIS ME,휴양마,999,8,0,1,1,1,4
45663,문학시바,1,4,56,"67,920",권경자,BLAME,SEEKING SHEBA,박종곤,1,5,2,0,1,1,3
45052,문학앙코르,1,4,51,"72,450",황봉기,WE MISS ARTIE,CRIMSON ORE,휴양마,999,21,1,2,1,1,3
50790,문학어플리트,1,2,38,0,권경자,AFLEET ALEX,SAVANNAH,정호익,10,1,0,0,0,1,4
43630,문학엠파이어,0,5,51,"94,200",권경자,EMPIRE MAKER,LADY LUMBERJACK,휴양마,999,24,2,0,3,1,3
46406,문학이든,2,2,0,0,권경자,TEXAS RED,바운드포이든,홍대유,6,1,0,0,0,0,6
