마번,마명,모마성적
28966,윌링미스,0전(0/0/0)
28968,나우코프위드디스,3전(1/0/1)
28970,라레인델라보어즈,0전(0/0/0)
29001,퀸클리팀네스트러,25전(2/5/4)
29024,홀리드라이브,20전(1/3/0)
29041,록오브선더,20전(0/3/0)
29061,대산여제,10전(0/1/3)
29062,대화합,25전(2/1/1)
29063,인디언호퍼,17전(3/0/0)
29065,초원의별,19전(3/3/2)
29072,바람꽃,31전(0/1/1)
29075,뉴미디어,9전(4/0/1)
29126,원더데이,5전(3/1/0)
29128,야호돌핀스,13전(2/1/1)
29130,꽃마루,27전(2/0/4)
29135,에스퀸,34전(0/0/2)
29148,해피댄서,13전(2/3/1)
29160,인디언체로키,23전(3/2/2)
29161,황금대로,32전(0/3/3)
29181,해광,29전(0/1/3)
29182,비바라슬램,8전(1/0/1)
29193,상류,24전(5/3/3)
29197,대싱플래티넘,16전(2/3/3)
29261,어번와우,23전(1/4/1)
29289,웨이업데어,50전(13/9/7)
29298,동방신화,24전(1/2/2)
29303,라온볼드,25전(3/1/2)
29306,멀티챔프,20전(2/1/3)
29325,라피네,8전(1/1/0)
29354,스트라이크이글,0전(0/0/0)
29360,설트리조스키,0전(0/0/0)
29366,일루시브로시,4전(0/0/0)
29386,모어인트리그,1전(0/0/0)
29388,트레킹,8전(2/3/0)
29392,모너,24전(5/6/1)
29393,시홀리,9전(2/0/1)
29416,라이드미투더문,10전(1/2/2)
29417,셀시,2전(0/1/0)
29425,브리짓스드림,26전(4/4/8)
29429,더스티즈튠,13전(2/2/0)
29430,코라벨라,3전(1/0/0)
29433,스타어브아바,5전(0/0/0)
29436,라벨비,3전(0/0/0)
29442,메즈머리징레이디,0전(0/0/0)
29443,스위트오일,3전(0/0/0)
29456,다이아몬즈인더스,8전(3/0/0)
29461,퍼리지안,14전(4/0/3)
29464,퀘일런,5전(1/1/2)
29467,스트리트골드,3전(0/1/1)
29480,골드퓨처즈,1전(1/0/0)
29481,레이티스트스쿠프,10전(1/1/4)
29484,걸즈라이크,0전(0/0/0)
29513,큐피드걸,19전(4/1/3)
29549,터프한걸,2전(0/0/1)
29561,스팅캠프,22전(2/3/6)
29600,화이트이글,11전(2/1/1)
29619,금빛환희,19전(5/3/2)
29621,상왕전,9전(1/1/2)
29640,다이아파워,23전(5/4/2)
29670,금포엔젤,35전(3/3/1)
29675,오버스피드,14전(3/2/2)
29676,포트레이,22전(3/5/4)
29748,행운성,25전(2/1/3)
29800,펠리시티,16전(3/2/2)
29809,평화포럼,20전(2/1/3)
29921,원더드리머,27전(2/1/4)
29926,심신지려,47전(4/3/5)
29933,퍼펙트레이디,17전(1/0/4)
29951,마볼트,33전(3/4/5)
29956,아르누보,4전(3/0/0)
29990,동방의새아침,33전(7/4/2)
30005,앰버고,9전(4/0/0)
30034,럭키시스터,22전(1/1/3)
30084,행복천사,21전(5/4/0)
30086,슈퍼플러키,13전(4/1/3)
30096,라온나리,0전(0/0/0)
30140,마이스타일,15전(3/4/3)
30155,스페이스셔틀,25전(4/1/3)
30226,퀸오브메니,0전(0/0/0)
30243,스페셜킹덤,18전(5/0/0)
30244,퀸즈블레이드,17전(8/5/0)
30274,퍼스트워리어,16전(1/4/1)
30277,헤이주드,19전(3/1/3)
30308,다크레이디,39전(3/3/5)
30321,클린업스피드,11전(4/2/1)
30354,빛나는새벽,13전(1/4/3)
30377,에이스더블,30전(4/5/1)
30384,슈거빅토리,24전(3/3/5)
30394,마이걸,2전(0/0/1)
30410,골드,2전(0/0/0)
30449,신세계신화,28전(2/4/8)
30487,대륙강자,19전(0/1/2)
30499,우아등선,14전(6/0/1)
30503,검화,12전(4/0/0)
30507,누비퀸,26전(4/2/3)
30615,가문여장군,19전(2/5/1)
30663,월들리듀드,1전(0/0/0)
30673,늘푸른타이거,42전(5/4/1)
30706,대각힐원만,18전(2/2/2)
30708,투어캠프,14전(3/2/2)
30733,범블비,1전(0/0/0)
30772,중앙공주,23전(4/4/2)
30812,진격의질주,16전(3/2/2)
30842,랩소디,15전(3/0/4)
30870,엠제이스타,12전(2/0/0)
30875,실버파운틴,11전(1/1/0)
30901,멀티럭,26전(5/3/2)
30905,절세가인,18전(2/4/4)
30926,북새명가,9전(1/1/0)
30927,푸른미소,17전(4/1/3)
30951,대륙의별,28전(1/3/2)
30953,펠릭스조이,19전(1/2/4)
30960,마리카,13전(2/3/3)
30973,아이디이천,23전(2/1/0)
31009,샌드서핑,21전(0/2/3)
31014,천억이,10전(0/0/0)
31031,플라이톱퀸,16전(7/1/1)
31036,동서대륙,14전(3/4/0)
31041,폭풍히어로,11전(3/1/4)
31043,여시,27전(1/4/2)
31051,홀리워크,24전(3/2/6)
31053,부경게이트,19전(0/0/0)
31056,바다새,19전(3/1/2)
31067,스마트체스넛,20전(1/2/3)
31093,인디언블루,21전(5/4/5)
31108,라온루비,14전(3/3/1)
31120,어모멘트투라스트,27전(3/2/3)
31175,로열리뷰,14전(3/1/0)
31184,윈디밸리,6전(0/0/1)
31190,파스디프라블럼,7전(0/0/1)
31193,낫애니모어,28전(3/6/4)
31204,선블레이드,15전(4/2/2)
31212,퍼펙트스킵,8전(1/2/0)
31221,스트롱윈드,15전(4/1/1)
31232,프런틴,10전(1/1/1)
31236,히어컴즈서머,1전(0/0/0)
31237,토털리톡식,0전(0/0/0)
31238,프리넙셜,11전(2/1/0)
31239,베이그노션,3전(1/0/0)
31241,스피닝얀,21전(3/4/3)
31244,그레이트브리지,56전(7/5/12)
31250,거츠게임,43전(6/6/5)
31258,로카두니래스,0전(0/0/0)
31259,스윗익스체인지,33전(3/3/6)
31263,스페시픽히트,0전(0/0/0)
31267,쉬저스트마이트,11전(1/0/2)
31268,파이어앤바이스,0전(0/0/0)
31270,폭풍속으로,19전(0/3/3)
31273,임브레이싱크리시,13전(1/3/0)
31275,벨어브더문,6전(0/1/2)
31276,코마릴로,13전(3/1/2)
31277,커리어타임,0전(0/0/0)
31279,탭탭안토니에타,7전(1/2/1)
31281,다이나믹바비,23전(3/2/5)
31286,와일드딕시갤,0전(0/0/0)
31292,시티버드,11전(3/5/0)
31295,더로열,0전(0/0/0)
